Record_ID,Text_Type,Source_Text,Sentiment_Label,Primary_Intent,NER_Entities
T01,Customer Review,"The sound quality on these wireless headphones is excellent, but the ear cushions start to hurt after just an hour of use.",Mixed,Product Feedback,"wireless headphones [PROD]"
T02,Customer Review,"I ordered a size large but received a small. The fabric feels cheap anyway, so I am just going to return it for a refund.",Negative,Return/Refund,"size large [SPEC], small [SPEC]"
T03,Customer Review,"This coffee maker changed my mornings. It brews quickly, the timer works perfectly, and the espresso option is a game-changer.",Positive,Product Feedback,"coffee maker [PROD], espresso [PROD]"
T04,Customer Review,"The book arrived with a torn cover and bent pages. Highly disappointed with the packaging for this order.",Negative,Complaint,"book [PROD]"
T05,Customer Review,"Setup was incredibly frustrating. The manual leaves out three crucial steps, but the app itself works okay once you get past that.",Mixed,Technical Support,"app [PROD]"
T06,Product Description,"Engineered with a dual-core processor and 16GB RAM, this lightweight laptop delivers high-speed performance for professionals on the go.",Neutral,Product Info,"dual-core processor [SPEC], 16GB RAM [SPEC], laptop [PROD]"
T07,Product Description,"Organic chamomile blend infused with lavender and honey flavors, designed to promote relaxation and restful sleep.",Neutral,Product Info,"chamomile blend [PROD]"
T08,Product Description,"Heavy-duty stainless steel frying pan featuring an ergonomic handle and a non-stick coating safe for all stovetops.",Neutral,Product Info,"frying pan [PROD]"
T09,Product Description,"All-weather running shoes with advanced shock absorption, breathable mesh upper, and high-traction rubber soles for trail running.",Neutral,Product Info,"running shoes [PROD]"
T10,Product Description,"Smart home security camera with 1080p HD video resolution, infrared night vision, and instant motion-activated alerts sent to your phone.",Neutral,Product Info,"security camera [PROD], 1080p HD [SPEC]"
T11,Social Media,"Just spent two hours trying to assemble this desk and I am convinced half the screws are missing. Thanks for nothing.",Negative,Complaint,"desk [PROD]"
T12,Social Media,"Can anyone recommend a good local mechanic in the Cairo area? My car engine is making a strange clicking noise.",Neutral,Inquiry,"Cairo [LOC], car engine [PROD]"
T13,Social Media,"Absolutely thrilled to announce that our team just finalized the launch of our new bilingual evaluation platform today.",Positive,Announcement,"bilingual evaluation platform [PROD], today [DATE]"
T14,Social Media,"The traffic on the ring road is completely at a standstill right now. Avoid it if you are heading home.",Negative,Status Update,"ring road [LOC]"
T15,Social Media,"Wow, the latest software update completely ruined my battery life. It drains from one hundred percent to zero in three hours.",Negative,Complaint,"software update [PROD], three hours [DATE]"
T16,Support Ticket,"My account was charged twice for the monthly subscription on June 15. Please reverse the duplicate payment immediately.",Negative,Billing/Refund,"monthly subscription [PROD], June 15 [DATE]"
T17,Support Ticket,"I am trying to reset my password but the verification link sent to my email results in a 404 error page.",Negative,Technical Support,"password [SPEC]"
T18,Support Ticket,"Our company needs to upgrade our API quota from the basic tier to the enterprise tier. Who do we speak with regarding contract pricing?",Neutral,Account Upgrade,"API quota [SPEC]"
T19,Support Ticket,"The package tracking status says delivered, but nothing arrived at my address. Can you verify the delivery coordinates?",Negative,Missing Package,"package [PROD]"
T20,Support Ticket,"I cannot find the export button on the new dashboard interface. Was this feature moved or removed in the update?",Neutral,UI Navigation,"dashboard interface [PROD]"
T21,Customer Review,"The battery on this smartphone barely lasts half a day. I expected much more for this price point.",Negative,Product Feedback,"smartphone [PROD], battery [SPEC]"
T22,Customer Review,"Incredibly fast shipping! The mechanical keyboard feels great to type on and the RGB lighting is beautiful.",Positive,Product Feedback,"mechanical keyboard [PROD]"
T23,Customer Review,"The instructions were completely blank. Had to find a YouTube video just to figure out how to assemble the blender.",Negative,Complaint,"blender [PROD], YouTube [ORG]"
T24,Customer Review,"Decent performance for a budget tablet, but don't expect it to run heavy mobile games smoothly.",Mixed,Product Feedback,"tablet [PROD]"
T25,Customer Review,"This winter jacket is incredibly warm and completely waterproof. Perfect for skiing in Canada.",Positive,Product Feedback,"winter jacket [PROD], Canada [LOC]"
T26,Product Description,"Ergonomic office chair with adjustable lumbar support, 3D armrests, and a breathable mesh backrest for ultimate comfort.",Neutral,Product Info,"office chair [PROD]"
T27,Product Description,"4K Ultra HD smart television featuring Dolby Vision, built-in streaming apps, and voice control compatibility.",Neutral,Product Info,"smart television [PROD], 4K Ultra HD [SPEC]"
